name,brand,category,color,price,price_old,RAM,ROM,percent,rating,sold
Masstel IZI T6 4G,Masstel,Điện thoại,Xanh lá,500000.0,500000.0,N/A,4G,0,4.9,85500
Mobell F309 4G,Mobell,Điện thoại,Vàng,760000.0,760000.0,N/A,4G,0,4.9,35100
Samsung Galaxy S24 Ultra 5G 12GB/256GB,Samsung,Điện thoại,Xám,23990000.0,23990000.0,12GB,256GB,0,4.9,29700
Mobell M331 4G,Mobell,Điện thoại,Xanh,550000.0,550000.0,N/A,4G,0,4.9,48500
Nokia 110 4G Pro,Nokia,Điện thoại,Xanh,750000.0,750000.0,N/A,Pro,0,4.9,57700
Xiaomi Redmi Note 14 5G 8GB/256GB,Xiaomi,Điện thoại,Xanh lá,7290000.0,7290000.0,8GB,256GB,0,5,1000
HONOR X7c 8GB/256GB,HONOR,Điện thoại,Trắng,5290000.0,5290000.0,8GB,256GB,0,4.9,3900
Samsung Galaxy M35 5G 8GB/256GB,Samsung,Điện thoại,Xanh Đậm,8790000.0,8790000.0,8GB,256GB,0,4.9,30000
vivo Y03 4GB/128GB,vivo,Điện thoại,Xanh,3290000.0,3290000.0,4GB,128GB,0,4.9,53500
Nokia 3210 4G,Nokia,Điện thoại,Vàng,1590000.0,1590000.0,N/A,4G,0,4.9,15100
Samsung Galaxy S25 Plus 5G 12GB/256GB,Samsung,Điện thoại,Xanh dương nhạt,23190000.0,23190000.0,12GB,256GB,0,5,2000
vivo Y28 8GB/128GB,vivo,Điện thoại,Cam,5790000.0,5790000.0,8GB,128GB,0,4.9,56100
vivo V40 5G 12GB/256GB,vivo,Điện thoại,Cam,12990000.0,12990000.0,12GB,256GB,0,4.9,4600
OPPO Reno12 5G 12GB/512GB,OPPO,Điện thoại,Bạc,11990000.0,11990000.0,12GB,512GB,0,4.9,46100
Tecno Spark 30C 6GB/128GB,Tecno,Điện thoại,Trắng,2990000.0,2990000.0,6GB,128GB,0,4.9,512
realme C65s 8GB/128GB,realme,Điện thoại,Xanh lá,4790000.0,4790000.0,8GB,128GB,0,4.9,14100
Mobell F209 4G,Mobell,Điện thoại,Vàng,620000.0,620000.0,N/A,4G,0,4.9,49200
realme 12 8GB/256GB,realme,Điện thoại,Xanh lá,7990000.0,7990000.0,8GB,256GB,0,4.9,3900
Samsung Galaxy A16 8GB/128GB,Samsung,Điện thoại,Xanh lá,5390000.0,5390000.0,8GB,128GB,0,4.9,84000
TCL 406s 4GB/64GB,TCL,Điện thoại,Xanh,1890000.0,1890000.0,4GB,64GB,0,4.9,6900
Masstel Fami 60S 4G,Masstel,Điện thoại,Đen,700000.0,700000.0,N/A,4G,0,4.9,45600
Itel it9310,Itel,Điện thoại,Đen,560000.0,560000.0,N/A,it9310,0,4.9,5900
Samsung Galaxy A55 5G 12GB/256GB,Samsung,Điện thoại,Tím,9690000.0,9690000.0,12GB,256GB,0,4.9,68700
OPPO Find N3 Flip 5G 12GB/256GB Hồng,OPPO,Điện thoại,Hồng,16490000.0,16490000.0,N/A,Hồng,0,4.9,1900
OPPO Reno12 5G 12GB/256GB Hồng,OPPO,Điện thoại,Hồng,9190000.0,9190000.0,N/A,Hồng,0,4.9,7300
vivo Y18 4GB/128GB,vivo,Điện thoại,Nâu,3990000.0,3990000.0,4GB,128GB,0,4.9,12800
Itel it9211,Itel,Điện thoại,Xanh Dương,430000.0,430000.0,N/A,it9211,0,4.9,7800
OPPO Reno12 F 5G 12GB/256GB,OPPO,Điện thoại,Cam,7990000.0,7990000.0,12GB,256GB,0,4.9,70200
Samsung Galaxy Z Flip6 5G 12GB/256GB,Samsung,Điện thoại,Xanh Dương,20490000.0,20490000.0,12GB,256GB,0,4.9,4000
Tecno Spark 30 5G 6GB/128GB,Tecno,Điện thoại,Xanh,4090000.0,4090000.0,6GB,128GB,0,5,6
OPPO Reno12 Pro 5G 12GB/512GB,OPPO,Điện thoại,Xám,15990000.0,15990000.0,12GB,512GB,0,4.9,3800
HONOR 200 5G 12GB/256GB,HONOR,Điện thoại,Trắng,11990000.0,11990000.0,12GB,256GB,0,4.9,362
OPPO Find N3 5G 16GB/512GB,OPPO,Điện thoại,Vàng đồng,30990000.0,30990000.0,16GB,512GB,0,5,398
HONOR Magic V3 5G 12GB/512GB,HONOR,Điện thoại,Xanh lá,36990000.0,36990000.0,12GB,512GB,0,5,90
OPPO A58 8GB/128GB,OPPO,Điện thoại,Xanh ngọc,5390000.0,5390000.0,8GB,128GB,0,4.9,124500
OPPO A38 6GB/128GB,OPPO,Điện thoại,Đen,3990000.0,3990000.0,6GB,128GB,0,4.9,127700
Samsung Galaxy M15 5G 6GB/128GB,Samsung,Điện thoại,Xanh Đậm,4490000.0,4490000.0,6GB,128GB,0,4.9,95600
TCL 60 NXTPaper 8GB/256GB,TCL,Điện thoại,Đen,4490000.0,4490000.0,8GB,256GB,0,0,0
TCL 605 4GB/128GB,TCL,Điện thoại,Trắng,2490000.0,2490000.0,4GB,128GB,0,0,0
