name,brand,category,color,price,price_old,RAM,ROM,percent,rating,sold
Acer Gaming Nitro 5 Tiger AN515 58 52SP i5 12500H (NH.QFHSV.001),Acer,Laptop,Đen,18690000.0,18690000.0,RAM 8 GB,SSD 512 GB,0,4.9,1300
HP 15 fd1063TU Ultra 5 125H (9Z2Y1PA),HP,Laptop,Vàng,18190000.0,18190000.0,RAM 16 GB,SSD 512 GB,0,5,717
HP Pavilion 15 eg3091TU i7 1355U (8C5L2PA),HP,Laptop,Vàng,23190000.0,23190000.0,RAM 16 GB,SSD 512 GB,0,4.9,1500
MSI Gaming Cyborg 15 A13VEK i7 13620H (1423VN),MSI,Laptop,Đen,24690000.0,24690000.0,RAM 16 GB,SSD 512 GB,0,5,493
Asus Vivobook 15 X1504ZA i5 1235U (NJ1608W),Asus,Laptop,Bạc,14690000.0,14690000.0,RAM 16 GB,SSD 512 GB,0,4.9,2400
Dell Inspiron 15 3520 i5 1235U (N5I5052W1),Dell,Laptop,Bạc,16490000.0,16490000.0,RAM 16 GB,SSD 512 GB,0,5,8600
Asus Vivobook S 16 OLED S5606MA Ultra 5 125H (MX050W),Asus,Laptop,Xanh Dương,23690000.0,23690000.0,RAM 16 GB,SSD 512 GB,0,4.9,930
Asus Vivobook 16 X1605VA i5 13420H (MB1876WS),Asus,Laptop,Bạc,15990000.0,15990000.0,RAM 16 GB,SSD 512 GB,0,5,92
Acer Aspire Lite 14 51M 36MH i3 1215U (NX.KTVSV.001),Acer,Laptop,Bạc,10190000.0,10190000.0,RAM 8 GB,SSD 256 GB,0,5,2800
Lenovo IdeaPad Slim 5 OLED 14AHP10 R7 8845HS (83HV001MVN),Lenovo,Laptop,Xám,23990000.0,23990000.0,RAM 32 GB,SSD 512 GB,0,5,32
HP Pavilion X360 14 ek2027TU Core 7 150U (9Z2V9PA),HP,Laptop,Vàng,26690000.0,26690000.0,RAM 16 GB,SSD 512 GB,0,5,395
MSI Gaming GF63 Thin 12UC i7 12650H (887VN),MSI,Laptop,Đen,18690000.0,18690000.0,RAM 8 GB,SSD 512 GB,0,4.9,1100
