crawl_timestamp,price_date,gold_type,buy_price,sell_price,source
1744713416389,2025-02-19,SJC,89600,91900,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713416390,2025-02-19,DOJI HN,89600,91900,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713416391,2025-02-19,DOJI SG,89600,91900,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713416391,2025-02-19,BTMC SJC,89600,91900,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713416391,2025-02-19,Phú Qúy SJC,89700,91900,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713416392,2025-02-19,PNJ TP.HCM,90100,91900,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713416392,2025-02-19,PNJ Hà Nội,90100,91900,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714522238,2025-04-04,SJC,98800,101300,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714522239,2025-04-04,DOJI HN,98800,101300,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714522240,2025-04-04,DOJI SG,98800,101300,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714522240,2025-04-04,BTMC SJC,98800,101300,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714522240,2025-04-04,Phú Qúy SJC,98600,101300,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714522240,2025-04-04,PNJ TP.HCM,98700,101300,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714522241,2025-04-04,PNJ Hà Nội,98700,101300,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714565144,2025-04-15,SJC,105500,108000,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714565144,2025-04-15,DOJI HN,105500,108000,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714565146,2025-04-15,DOJI SG,105500,108000,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714565146,2025-04-15,BTMC SJC,105500,108000,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714565146,2025-04-15,Phú Qúy SJC,104800,108000,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714565146,2025-04-15,PNJ TP.HCM,102800,106000,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714565147,2025-04-15,PNJ Hà Nội,102800,106000,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713391308,2025-02-14,SJC,88300,91300,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713391323,2025-02-14,DOJI HN,88300,91300,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713391323,2025-02-14,DOJI SG,88300,91300,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713391324,2025-02-14,BTMC SJC,88300,91300,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713391324,2025-02-14,Phú Qúy SJC,88300,91300,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713391324,2025-02-14,PNJ TP.HCM,89200,91200,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713391325,2025-02-14,PNJ Hà Nội,89200,91200,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714504934,2025-03-30,SJC,98400,100700,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714504935,2025-03-30,DOJI HN,98400,100700,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714504935,2025-03-30,DOJI SG,98400,100700,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714504935,2025-03-30,BTMC SJC,98500,100700,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714504936,2025-03-30,Phú Qúy SJC,98400,100700,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714504937,2025-03-30,PNJ TP.HCM,98400,100700,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714504938,2025-03-30,PNJ Hà Nội,98400,100700,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714526650,2025-04-05,SJC,97100,100100,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714526651,2025-04-05,DOJI HN,97100,100100,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714526651,2025-04-05,DOJI SG,97100,100100,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714526651,2025-04-05,BTMC SJC,97200,100100,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714526652,2025-04-05,Phú Qúy SJC,97100,100100,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714526653,2025-04-05,PNJ TP.HCM,97500,100100,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714526653,2025-04-05,PNJ Hà Nội,97500,100100,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713481718,2025-03-08,SJC,90900,92900,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713481723,2025-03-08,DOJI HN,90900,92900,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713481725,2025-03-08,DOJI SG,90900,92900,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713481725,2025-03-08,BTMC SJC,90900,92900,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713481725,2025-03-08,Phú Qúy SJC,90900,92900,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713481725,2025-03-08,PNJ TP.HCM,91700,93200,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713481726,2025-03-08,PNJ Hà Nội,91700,93200,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713441560,2025-02-26,SJC,89000,91300,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713441561,2025-02-26,DOJI HN,89000,91300,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713441561,2025-02-26,DOJI SG,89000,91300,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713441561,2025-02-26,BTMC SJC,89300,91300,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713441561,2025-02-26,Phú Qúy SJC,89300,91300,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713441562,2025-02-26,PNJ TP.HCM,90200,91300,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713441562,2025-02-26,PNJ Hà Nội,90200,91300,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713449482,2025-02-28,SJC,88500,90500,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
